Linux 6.8.0-110-generic (testbed-node1) 	13/05/26 	_x86_64_	(24 CPU)

04:44:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:44:57     all   54,23    0,00    0,25    0,00    0,00    0,00    0,00    0,00    0,00   45,52
04:44:57       0  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
04:44:57      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
04:44:57      14    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
04:44:57      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
04:44:57      16    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
04:44:57      17    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
04:44:57      18    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
04:44:57      19    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
04:44:57      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
04:44:57      21    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
04:44:57      22    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
04:44:57      23    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
